 Balanço Patrimonial ;histórico;histórico;histórico;histórico;histórico
 Ativos ;2018;2019;2020;2021;2022
 Caixa ; 1.385 ; 1.372 ; 2.673 ; 5.947 ; 3.503 
 Contas a Receber ; 3.163 ; 3.826 ; 3.812 ; 5.413 ; 6.525 
 Estoques ; 1.110 ; 1.125 ; 1.382 ; 1.610 ; 1.837 
 Imobilizado ; 2.629 ; 4.838 ; 4.795 ; 6.293 ; 7.079 
 Outros ; 534 ; 631 ; 1.982 ; 2.149 ; 2.205 
 Total de Ativos ; 8.821 ; 11.792 ; 14.644 ; 21.412 ; 21.149 
;;;;;
 Dados ;2018;2019;2020;2021;2022
 Total de passivos ; 4.867 ; 7.087 ; 9.143 ; 11.605 ; 11.061 
 Fornecedores ; 1.026 ; 1.082 ; 1.405 ; 1.762 ; 1.703 
 Dívida ; 1.924 ; 1.645 ; 3.385 ; 3.467 ; 2.405 
 Outros ; 1.917 ; 4.360 ; 4.353 ; 6.376 ; 6.953 
 Patrimônio Liquido ; 3.954 ; 4.705 ; 5.501 ; 9.807 ; 10.088 
