 Demonstrativo de Resultado do Exercício ;2018;2019;2020;2021;2022
 Receita ;8.427;9.588;7.537;10.572;13.271
 Custo dos Bens Vendidos (CPV) ;-3.285;-3.731;-3.224;-4.399;-5.286
 Lucro Bruto ;4.827;5.127;3.522;5.257;6.944
 SG&A ;-3.718;-4.214;-3.457;-5.358;-6.577
 Depreciação & Amortização ;315;730;791;916;1.041
 Outros ;;;;;
 Total Despesas ;-3.403;-3.484;-2.666;-4.442;-5.536
 EBIT ;1.424;1.643;856;815;1.408
 Juros ;-54;-132;344;-174;-23
 Lucro antes dos Impostos ;1.370;1.511;1.200;641;1.385
 IR ;-350;-413;-104;-7;-93
 Lucro Líquido ;1.020;1.098;1.096;634;1.292
;;;;;
;;;;;
